3.90269	2.09979
0	0
0.03333	0.132007
0.06666	0.264014
0.09999	0.396667
0.13332	0.536354
0.16665	0.676687
0.19998	0.799137
0.23331	0.898915
0.26664	0.98695
0.29997	1.0683
0.3333	1.148
0.36663	1.2287
0.39996	1.30845
0.43329	1.38549
0.46662	1.45803
0.49995	1.52431
0.53328	1.57269
0.56661	1.60695
0.59994	1.64842
0.63327	1.69744
0.6666	1.74459
0.69993	1.79656
0.73326	1.86005
0.76659	1.94177
0.79992	2.06238
0.83325	2.21568
0.86658	2.36807
0.89991	2.48592
0.93324	2.55228
0.96657	2.58776
0.9999	2.61502
1.03323	2.65671
1.06656	2.73733
1.09989	2.82474
1.13322	2.89539
1.16655	2.96554
1.19988	3.03259
1.23321	3.09395
1.26654	3.14705
1.29987	3.19303
1.3332	3.23524
1.36653	3.27441
1.39986	3.31126
1.43319	3.34653
1.46652	3.38093
1.49985	3.41518
1.53318	3.45002
1.56651	3.48557
1.59984	3.52127
1.63317	3.55679
1.6665	3.59181
1.69983	3.62603
1.73316	3.65911
1.76649	3.69074
1.79982	3.7206
1.83315	3.74838
1.86648	3.77329
1.89981	3.79521
1.93314	3.81485
1.96647	3.83287
1.9998	3.84998
2.03313	3.86686
2.06646	3.8842
2.09979	3.90269
