0?427934	1?9998
0	0
0?03333	0?053511
0?06666	0?113976
0?09999	0?173051
0?13332	0?222389
0?16665	0?253647
0?19998	0?268017
0?23331	0?309076
0?26664	0?364431
0?29997	0?411557
0?3333	0?427934
0?36663	0?391036
0?39996	0?278341
0?43329	0?0673273
0?46662	-0?174133
0?49995	-0?376313
0?53328	-0?558953
0?56661	-0?741793
0?59994	-0?944577
0?63327	-1?18704
0?6666	-1?48894
0?69993	-1?86999
0?73326	-2?34996
0?76659	-2?94857
0?79992	-3?68558
0?83325	-4?58071
0?86658	-5?66083
0?89991	-6?9676
0?93324	-8?47484
0?96657	-10?1469
0?9999	-11?9482
1?03323	-13?8431
1?06656	-15?7961
1?09989	-17?7714
1?13322	-19?7335
1?16655	-21?6467
1?19988	-23?4755
1?23321	-25?1842
1?26654	-26?7373
1?29987	-28?18
1?3332	-29?5813
1?36653	-30?9406
1?39986	-32?2576
1?43319	-33?5317
1?46652	-34?7625
1?49985	-35?9496
1?53318	-37?0926
1?56651	-38?1909
1?59984	-39?2441
1?63317	-40?2518
1?6665	-41?2135
1?69983	-42?1158
1?73316	-42?8893
1?76649	-43?5446
1?79982	-44?1059
1?83315	-44?5979
1?86648	-45?0451
1?89981	-45?4718
1?93314	-45?9026
1?96647	-46?362
1?9998	-46?8744
