12?69934	5?733
0	0
0?03333	1?95499
0?06666	4?0046
0?09999	6?00691
0?13332	7?81995
0?16665	9?30178
0?19998	10?4456
0?23331	11?3459
0?26664	12?0132
0?29997	12?4575
0?3333	12?6892
0?36663	12?6379
0?39996	12?2969
0?43329	11?7715
0?46662	11?1673
0?49995	10?5896
0?53328	9?93405
0?56661	9?12937
0?59994	8?3078
0?63327	7?44444
0?6666	6?56464
0?69993	5?63212
0?73326	4?72679
0?76659	4?03245
0?79992	3?4643
0?83325	2?95644
0?86658	2?46633
0?89991	1?9544
0?93324	1?42823
0?96657	0?930325
0?9999	0?5038
1?03323	0?197362
1?06656	0?0119942
1?09989	-0?0736011
1?13322	-0?0611827
1?16655	-0?0140229
1?19988	-1?19019E-05
1?23321	-3?27301E-05
1?26654	-5?54657E-05
1?29987	-8?10242E-05
1?3332	-0?000107498
1?36653	-0?000130386
1?39986	-0?000148926
1?43319	-0?000165405
1?46652	-0?000179901
1?49985	-0?000192261
1?53318	-0?000201035
1?56651	-0?000204468
1?59984	-0?000203018
1?63317	-0?000200806
1?6665	-0?000198517
1?69983	-0?000196152
1?73316	-0?00019371
1?76649	-0?000191269
1?79982	-0?000188751
1?83315	-0?000186157
1?86648	-0?000183563
1?89981	-0?000180893
1?93314	-0?000178223
1?96647	-0?000175476
1?9998	-0?000172729
2?03313	-0?000169907
2?06646	-0?00016716
2?09979	-0?000164337
2?13312	-0?000161514
2?16645	-0?000158691
2?19978	-0?000155792
2?23311	-0?000152969
2?26644	-0?000150146
2?29977	-0?000147324
2?3331	-0?000144501
2?36643	-0?000141678
2?39976	-0?000138855
2?43309	-0?000136108
2?46642	-0?000133362
2?49975	-0?000130692
2?53308	-0?000128021
2?56641	-0?000125427
2?59974	-0?000122833
2?63307	-0?000120239
2?6664	-0?000117798
2?69973	-0?000115356
2?73306	-0?000112991
2?76639	-0?000110855
2?79972	-0?000110016
2?83305	-0?000110168
2?86638	-0?000110855
2?89971	-0?000111618
2?93304	0?000509033
2?96637	0?00488876
2?9997	0?012145
3?03303	0?0207086
3?06636	0?0290108
3?09969	0?0354823
3?13302	0?0385544
3?16635	0?0366579
3?19968	0?0282239
3?23301	0?0116833
3?26634	-0?0135135
3?29967	-0?0421511
3?333	-0?0730749
3?36633	-0?10607
3?39966	-0?140927
3?43299	-0?177432
3?46632	-0?215376
3?49965	-0?254543
3?53298	-0?294726
3?56631	-0?335708
3?59964	-0?377282
3?63297	-0?419231
3?6663	-0?461348
3?69963	-0?503419
3?73296	-0?545231
3?76629	-0?586574
3?79962	-0?627234
3?83295	-0?667001
3?86628	-0?705662
3?89961	-0?743007
3?93294	-0?778821
3?96627	-0?812895
3?9996	-0?845015
4?03293	-0?874972
4?06626	-0?90255
4?09959	-0?926859
4?13292	-0?943335
4?16625	-0?950406
4?19958	-0?947157
4?23291	-0?932668
4?26624	-0?906021
4?29957	-0?8663
4?3329	-0?812585
4?36623	-0?735414
4?39956	-0?631995
4?43289	-0?511415
4?46622	-0?382763
4?49955	-0?255127
4?53288	-0?137595
4?56621	-0?0392557
4?59954	0?0344985
4?63287	0?100054
4?6662	0?160452
4?69953	0?215405
4?73286	0?264627
4?76619	0?30783
4?79952	0?344727
4?83285	0?375032
4?86618	0?398457
4?89951	0?414714
4?93284	0?42342
4?96617	0?424205
4?9995	0?417958
5?03283	0?405723
5?06616	0?388543
5?09949	0?36746
5?13282	0?343518
5?16615	0?317759
5?19948	0?291227
5?23281	0?264964
5?26614	0?240013
5?29947	0?217417
5?3328	0?19822
5?36613	0?181168
5?39946	0?164298
5?43279	0?147583
5?46612	0?130997
5?49945	0?114516
5?53278	0?0981115
5?56611	0?081759
5?59944	0?0654329
5?63277	0?0491063
5?6661	0?0327538
5?69943	0?0163499
5?73276	-0?000132065
