82?9183	5?73276
0	0
0?03333	0?348071
0?06666	0?703798
0?09999	1?0557
0?13332	1?39228
0?16665	1?70207
0?19998	2?04914
0?23331	2?44113
0?26664	2?78195
0?29997	2?97548
0?3333	2?92561
0?36663	2?59152
0?39996	2?03731
0?43329	1?32417
0?46662	0?513309
0?49995	-0?334072
0?53328	-1?40898
0?56661	-2?74316
0?59994	-4?0899
0?63327	-5?51055
0?6666	-6?86325
0?69993	-8?11572
0?73326	-9?23701
0?76659	-10?0873
0?79992	-10?8268
0?83325	-11?4595
0?86658	-11?9468
0?89991	-12?2578
0?93324	-12?3957
0?96657	-12?3185
0?9999	-11?9763
1?03323	-11?5207
1?06656	-10?3702
1?09989	-7?46891
1?13322	-3?04372
1?16655	1?89265
1?19988	6?51041
1?23321	14?4158
1?26654	23?1213
1?29987	33?0337
1?3332	43?3232
1?36653	52?2796
1?39986	59?6277
1?43319	66?2282
1?46652	72?0742
1?49985	77?1587
1?53318	81?071
1?56651	82?9183
1?59984	82?377
1?63317	81?4271
1?6665	80?4456
1?69983	79?4345
1?73316	78?3955
1?76649	77?3305
1?79982	76?2413
1?83315	75?1296
1?86648	73?9974
1?89981	72?8464
1?93314	71?6785
1?96647	70?4954
1?9998	69?299
2?03313	68?0911
2?06646	66?8736
2?09979	65?6481
2?13312	64?4166
2?16645	63?1809
2?19978	61?9427
2?23311	60?7039
2?26644	59?4664
2?29977	58?2318
2?3331	57?0021
2?36643	55?7791
2?39976	54?5646
2?43309	53?3604
2?46642	52?1682
2?49975	50?99
2?53308	49?8275
2?56641	48?6826
2?59974	47?5571
2?63307	46?4528
2?6664	45?3714
2?69973	44?3149
2?73306	43?2851
2?76639	42?3689
2?79972	42?001
2?83305	42?0682
2?86638	42?3634
2?89971	42?6795
2?93304	42?856
2?96637	43?0382
2?9997	43?2538
3?03303	43?4921
3?06636	43?7426
3?09969	43?9944
3?13302	44?237
3?16635	44?4598
3?19968	44?6519
3?23301	44?8028
3?26634	44?9084
3?29967	45?0012
3?333	45?0879
3?36633	45?1687
3?39966	45?2441
3?43299	45?3145
3?46632	45?3802
3?49965	45?4418
3?53298	45?4995
3?56631	45?5539
3?59964	45?6052
3?63297	45?654
3?6663	45?7006
3?69963	45?7454
3?73296	45?7887
3?76629	45?8312
3?79962	45?873
3?83295	45?9147
3?86628	45?9566
3?89961	45?9991
3?93294	46?0427
3?96627	46?0877
3?9996	46?1345
4?03293	46?1836
4?06626	46?2353
4?09959	46?2891
4?13292	46?3395
4?16625	46?387
4?19958	46?4333
4?23291	46?4802
4?26624	46?5291
4?29957	46?5818
4?3329	46?6399
4?36623	46?6995
4?39956	46?7577
4?43289	46?8174
4?46622	46?8815
4?49955	46?9529
4?53288	47?0345
4?56621	47?1293
4?59954	47?2394
4?63287	47?3611
4?6662	47?492
4?69953	47?6302
4?73286	47?7739
4?76619	47?9211
4?79952	48?0701
4?83285	48?2189
4?86618	48?3658
4?89951	48?5088
4?93284	48?6476
4?96617	48?7898
4?9995	48?9354
5?03283	49?083
5?06616	49?2313
5?09949	49?3788
5?13282	49?5242
5?16615	49?6661
5?19948	49?803
5?23281	49?9336
5?26614	50?0565
5?29947	50?1703
5?3328	50?2736
5?36613	50?3648
5?39946	50?4444
5?43279	50?5142
5?46612	50?5756
5?49945	50?6305
5?53278	50?6804
5?56611	50?727
5?59944	50?7719
5?63277	50?8169
5?6661	50?8635
5?69943	50?9134
5?73276	50?9683
